# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.2

arena::team::blue::spawnlocations::1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE00000000000000179094050800000000000017A09400C0000000000000570697463680800000000037961770843340000
arena::team::blue::spawnlocations::2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0120000000000000179094050800000000000017A09401E0000000000000570697463680800000000037961770843340000
arena::team::blue::spawnlocations::3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE00000000000000179094050800000000000017A0940270000000000000570697463680800000000037961770843340000
arena::team::blue::spawnlocations::4, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940160000000000000179094050800000000000017A09401E0000000000000570697463680800000000037961770843340000
arena::team::blue::spawnlocations::5, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE00000000000000179094050800000000000017A09401E0000000000000570697463680800000000037961770843340000
arena::team::red::spawnlocations::1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0120000000000000179094050800000000000017A09C0180000000000000570697463680800000000037961770800000000
arena::team::red::spawnlocations::2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE00000000000000179094050800000000000017A09C0040000000000000570697463680800000000037961770800000000
arena::team::red::spawnlocations::3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940160000000000000179094050800000000000017A09C0180000000000000570697463680800000000037961770800000000
arena::team::red::spawnlocations::4, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE00000000000000179094050800000000000017A09C0250000000000000570697463680800000000037961770800000000
arena::team::red::spawnlocations::5, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178093FE00000000000000179094050800000000000017A09C01A0000000000000570697463680800000000037961770800000000
bossbar::dawnbreaker::created, boolean, 01
bossbar::dawnbreaker::isshown, boolean, 01
bossbar::dawnbreaker::message, string, 802EC2A7637820C2A766D092D18B20D0BDD0B520D0B2D0BED188D0BBD0B820D0B220D0BED187D0B5D180D0B5D0B4D18C
bossbar::dawnbreaker::progress, long, 0000000000000000
bossbar::scharfuhrer::created, boolean, 01
bossbar::scharfuhrer::isshown, boolean, 01
bossbar::scharfuhrer::message, string, 802EC2A7637820C2A766D092D18B20D0BDD0B520D0B2D0BED188D0BBD0B820D0B220D0BED187D0B5D180D0B5D0B4D18C
bossbar::scharfuhrer::progress, long, 0000000000000000
bossbar::semyontresviy::created, boolean, 01
bossbar::semyontresviy::isshown, boolean, 01
bossbar::semyontresviy::message, string, 802EC2A7637820C2A766D092D18B20D0BDD0B520D0B2D0BED188D0BBD0B820D0B220D0BED187D0B5D180D0B5D0B4D18C
bossbar::semyontresviy::progress, long, 0000000000000000
dawnbreaker::inlobbystate::ticked, boolean, 01
dawnbreaker::previousstate, string, 8008696E5F6C6F626279
dawnbreaker::state, string, 8008696E5F6C6F626279
game::action, string, 800473746F70
game::status, string, 800777616974696E67
scharfuhrer::inlobbystate::ticked, boolean, 01
scharfuhrer::previousstate, string, 8008696E5F6C6F626279
scharfuhrer::state, string, 8008696E5F6C6F626279
semyontresviy::inlobbystate::ticked, boolean, 01
semyontresviy::previousstate, string, 8008696E5F6C6F626279
semyontresviy::state, string, 8008696E5F6C6F626279

